,index,name,ram,storage,brand_in_num,mean_rate,total_comment,price
182,10964145573.0,APPLE IPAD AIR 10.5 256GB 4G SILVER MV0P2ZP/A 平板電腦,4,256,1501,4.94,35.0,5488.0
183,11314864616.0,SAMSUNG Note10+ 手機 12GB+512GB 幻黑,12,512,1401,5.0,35.0,8998.0
184,10964145765.0,APPLE IPAD MINI 2019 256GB 4G SILVER MUXD2ZP/A 平板電腦,4,256,1501,5.0,35.0,4899.0
185,11193559892.0,SAMSUNG GALAXY A80 手機 8+128GB 幻魅金,0,128,1401,5.0,34.0,4098.0
186,10574070923.0,Apple Macbook Pro 13 with Touch Bar 1.4GHz I5 128GB Space Gray MUHN2ZP/A 手提電腦,0,128,1451,5.0,34.0,10399.0
187,10555867477.0,Apple iPad Pro 12.9 512GB Wi-Fi Space Gray MTFP2ZP/A 平板電腦,0,512,1451,5.0,33.0,9699.0
188,690402405.0,MEIZU PRO 7 PLUS M793H 手機 黑色,0,0,651,5.0,30.0,1799.0
189,10748547461.0,NOKIA 8.1 智能手機 鋼銀色,0,0,751,5.0,30.0,1999.0
190,10555566928.0,Apple iPad Pro 11 512GB 4G Space Gray MU1F2ZP/A 平板電腦,4,512,1451,5.0,29.0,9199.0
191,10555867679.0,Apple iPad Pro 12.9 64GB Wi-Fi Silver MTEM2ZP/A 平板電腦,0,64,1451,5.0,28.0,7199.0
192,10580005239.0,SAMSUNG SM-T835CZKLTGY BLACK TAB S4 256GB LTE【蘇寧9周年】,0,256,1401,5.0,27.0,6288.0
193,11193559889.0,SAMSUNG GALAXY A80 手機 8+128GB 魅影黑,0,128,1401,5.0,27.0,4098.0
194,10592156842.0,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 512GB Silver MV9A2ZP/A 手提電腦,0,512,1451,5.0,27.0,14945.0
195,10555863478.0,Apple iPad Pro 12.9 64GB 4G Space Gray MTHJ2ZP/A 平板電腦,4,64,1451,5.0,24.0,8199.0
196,10964123852.0,Apple Macbook Pro with Touch Bar 15 2.3GHz I9 512GB Silver MV932ZP/A 手提電腦,0,512,1451,5.0,24.0,20679.0
197,10964124188.0,APPLE IPAD AIR 10.5 64GB 4G SPACE GREY MV0D2ZP/A 平板電腦,4,64,1501,5.0,23.0,4599.0
198,10555867395.0,Apple iPad Pro 12.9 512GB Wi-Fi Silver MTFQ2ZP/A 平板電腦,0,512,1451,5.0,23.0,9699.0
199,690402406.0,MEIZU PRO 7 PLUS M793H 手機 太空黑,0,0,651,5.0,21.0,1799.0
200,10574067139.0,Apple Macbook Air 13 1.6GHz I5 128GB Gold MVFM2ZP/A 手提電腦,0,128,1451,5.0,21.0,8899.0
201,10574063711.0,Apple Macbook Air 13 1.6GHz I5 256GB Space Gray MVFJ2ZP/A 手提電腦,0,256,1451,5.0,21.0,10399.0
202,10574068768.0,Apple Macbook Air 13 1.6GHz I5 256GB Gold MVFN2ZP/A 手提電腦,0,256,1451,5.0,20.0,10399.0
203,11314878283.0,SAMSUNG Note10 手機 8GB+256GB 幻光,8,256,1401,5.0,19.0,6998.0
204,10548430151.0,LG G7 手機 64GB 藍色,0,64,1151,5.0,18.0,4398.0
205,11194736884.0,Asus VivoBook14 X420FA-SS8202T Notebook 手提電腦,0,0,1,5.0,18.0,6498.0
206,10717774549.0,AMAZON ALL KINDLE PAPERWHITE 4TH GEN 32GB 黑色 電子書,0,32,1101,5.0,18.0,1388.0
207,10964124236.0,APPLE IPAD AIR 10.5 64GB 4G GOLD MV0F2ZP/A 平板電腦,4,64,1501,5.0,16.0,4488.0
208,10555803878.0,Apple iPad Pro 11 512GB Wi-Fi Silver MTXU2ZP/A 平板電腦,0,512,1451,5.0,16.0,8199.0
209,10859217502.0,LENOVO L38011 K5 PLAY 3+32GB 手機 藍色,0,32,1201,5.0,8.0,1099.0
210,10859217502.0,LENOVO L38011 K5 PLAY 3+32GB 手機 藍色,0,32,1201,5.0,8.0,1099.0
211,10964124211.0,APPLE IPAD AIR 10.5 64GB 4G SILVER MV0E2ZP/A 平板電腦,4,64,1501,5.0,16.0,4599.0
