Index,product_index,product_type,product_name,prodect_brand,price,avg_rating,total_comment,seller,website
128,10964123807,Laptop,Apple Macbook Pro with Touch Bar 15 2.3GHz I9 512GB Space Gray MV912ZP/A 手提電腦,Apple,20679.0,0.0,61,香港蘇寧,https://product.hksuning.com/0000000000/10964123807.html
129,10555852823,Laptop,APPLE Macbook Pro Touch Bar 13 2.3GHz i5 512GB Silver MR9V2ZP/A 手提電腦,APPLE,14188.0,0.0,103,香港蘇寧,https://product.hksuning.com/0000000000/10555852823.html
130,10605103655,Laptop,SAMSUNG NOTEBOOK 9 ALWAYS 13.3'' 512GB SSD NP900X3T-K03HK 手提電腦,SAMSUNG,13480.0,0.0,9,香港蘇寧,https://product.hksuning.com/0000000000/10605103655.html
131,10592156842,Laptop,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 512GB Silver MV9A2ZP/A 手提電腦,Apple,14945.0,0.0,27,香港蘇寧,https://product.hksuning.com/0000000000/10592156842.html
132,10605103656,Laptop,SAMSUNG NOTEBOOK 9 ALWAYS 15'' 256GB SSD NP900X5T-K02HK手提電腦,SAMSUNG,10980.0,0.0,6,香港蘇寧,https://product.hksuning.com/0000000000/10605103656.html
133,10586160964,Laptop,ACER SF114-32-C9R3 NX.GXVCF.001 14'' 128GB SSD手提電腦,ACER,4798.0,0.0,174,香港蘇寧,https://product.hksuning.com/0000000000/10586160964.html
134,193709290,Laptop,聯想 (LENOVO) ThinkPad T460s 14吋i7 20F9A044HH 企業級超輕薄電腦,聯想,13388.0,0.0,107,香港蘇寧,https://product.hksuning.com/0000000000/193709290.html
135,624902159,Laptop,Apple MacBook Pro 13 2.3GHz i5 128GB 手提電腦,Apple,9388.0,0.0,466,香港蘇寧,https://product.hksuning.com/0000000000/624902159.html
136,10574064814,Laptop,Apple Macbook Air 13 1.6GHz I5 256GB Silver MVFL2ZP/A 手提電腦,Apple,10399.0,0.0,10,香港蘇寧,https://product.hksuning.com/0000000000/10574064814.html
137,11269697063,Laptop,ASUS VivoBook S406UA-AS8202E Notebook 手提電腦,ASUS,5498.0,0.0,8,香港蘇寧,https://product.hksuning.com/0000000000/11269697063.html
138,10574068768,Laptop,Apple Macbook Air 13 1.6GHz I5 256GB Gold MVFN2ZP/A 手提電腦,Apple,10399.0,0.0,20,香港蘇寧,https://product.hksuning.com/0000000000/10574068768.html
