,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
43,43,H5023002_S_LQJ-00022,laptop,Microsoft,Surface Pro 6 8代i7 16G 512 SSD 二合一平板電腦 Windows 10 專業版 (LQJ-00022) 送 實體鍵盤保護蓋,14999.0,0.0,0,Protech-Computer,https://www.hktvmall.com/hktv/zh/main/Protech-Computer/s/H5023002/電子電器/電子電器/電腦及週邊設備/手提電腦/Surface-Pro-6-8代i7-16G-512-SSD-二合一平板電腦-Windows-10-專業版-LQJ00022-送-實體鍵盤保護蓋/p/H5023002_S_LQJ-00022
44,44,H5023001_S_80X200DYHH,laptop,聯想,IdeaPad 520s-14IKB 第7代 Core i3 配SSD硬盤手提電腦 (80X200DYHH) - 高質陳列品,3799.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPad-520s14IKB-第7代-Core-i3-配SSD硬盤手提電腦-80X200DYHH-高質陳列品/p/H5023001_S_80X200DYHH
45,45,H6603001_S_IdeaPad_S130_14IGM_81J2001AHH,laptop,聯想,"IdeaPad_S130-14IGM 14"" HD N5000 4G 128G SHARE Win10 Home (灰色)",3199.0,0.0,0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPadS13014IGM-14-HD-N5000-4G-128G-SHARE-Win10-Home-灰色/p/H6603001_S_IdeaPad_S130_14IGM_81J2001AHH
46,46,H6603001_S_IdeaPad_S130_14IGM_81J2001CHH,laptop,聯想,"IdeaPad_S130-14IGM 14"" HD N5000 4G 128G SHARE Win10 Home (藍色)",3199.0,0.0,0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/IdeaPadS13014IGM-14-HD-N5000-4G-128G-SHARE-Win10-Home-藍色/p/H6603001_S_IdeaPad_S130_14IGM_81J2001CHH
47,47,H6603001_S_REMAX_RLB-101_W,laptop,REMAX,RLB-101_W,988.0,0.0,0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/RLB101W/p/H6603001_S_REMAX_RLB-101_W
48,48,H5023001_S_20EVA01LHH_6GB,laptop,聯想,THINKPAD EDGE E560 15吋 i3 6G 商務筆記本電腦 (20EVA01LHH_6GB) - 高質陳列品,3399.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/THINKPAD-EDGE-E560-15吋-i3-6G-商務筆記本電腦-20EVA01LHH6GB-高質陳列品/p/H5023001_S_20EVA01LHH_6GB
49,49,H0762001_S_NS13A1HK087P-140160099,laptop,Nexstgo,(13.3 Pentium N4200 4GB RAM 128GB SSD Win10) AVITA Liber 13.3 筆記型電腦,2898.0,4.0,1,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/133-Pentium-N4200-4GB-RAM-128GB-SSD-Win10-AVITA-Liber-133-筆記型電腦/p/H0762001_S_NS13A1HK087P-140160099
50,50,H5023001_S_80U1002HHH_256,laptop,聯想,Miix 510-12ISK Core i5 256 SSD 2合1 平板電腦 (80U1002HHH_256)  - 高質陳列品,4399.0,5.0,1,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/Miix-51012ISK-Core-i5-256-SSD-2合1-平板電腦-80U1002HHH256-高質陳列品/p/H5023001_S_80U1002HHH_256
51,51,H5023001_S_80U1002HHH,laptop,聯想,Miix 510-12ISK Core i5 2合1 平板電腦 (80U1002HHH)  - 高質陳列品,4099.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/Miix-51012ISK-Core-i5-2合1-平板電腦-80U1002HHH-高質陳列品/p/H5023001_S_80U1002HHH
52,52,H5023001_S_81F500BMHH,laptop,聯想,IDEAPAD 330S-15IKB 8代i5 纖巧高效筆記簿型電腦 (81F500BMHH) - 高質陳列品,3999.0,0.0,0,OB-House,https://www.hktvmall.com/hktv/zh/main/OB-House/s/H5023001/電子電器/電子電器/電腦及週邊設備/手提電腦/IDEAPAD-330S15IKB-8代i5-纖巧高效筆記簿型電腦-81F500BMHH-高質陳列品/p/H5023001_S_81F500BMHH
